  Class ,  z ,  b ,  c ,  H ,  Mem ,  Runs ,  Th ,  FP% ,  MinB ,  MaxB ,  AvgB ,  MinL ,  MaxL ,  AvgL ,  MinTime ,  MaxTime ,  AvgTime ,  MinHops ,  MaxHops ,  AvgHops ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  6  ,  6  ,  6.0  ,  1.5454545454545454  ,  2.5454545454545454  ,  1.8629818181794928  ,  17  ,  28  ,  20.4928  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  7  ,  7  ,  7.0  ,  1.5833333333333333  ,  2.6666666666666665  ,  2.167789166666289  ,  19  ,  32  ,  26.01347  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  8  ,  8  ,  8.0  ,  1.6153846153846154  ,  2.769230769230769  ,  2.424604615383766  ,  21  ,  36  ,  31.51986  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  9  ,  9  ,  9.0  ,  2.142857142857143  ,  2.857142857142857  ,  2.5001499999999974  ,  30  ,  40  ,  35.0021  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  10  ,  10  ,  10.0  ,  2.066666666666667  ,  2.933333333333333  ,  2.566821999999665  ,  31  ,  44  ,  38.50233  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  11  ,  11  ,  11.0  ,  2.0  ,  3.0  ,  2.62619125  ,  32  ,  48  ,  42.01906  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  12  ,  12  ,  12.0  ,  1.9411764705882353  ,  3.0588235294117645  ,  2.676863529412721  ,  33  ,  52  ,  45.50668  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  13  ,  13  ,  13.0  ,  1.8888888888888888  ,  3.111111111111111  ,  2.723714999999529  ,  34  ,  56  ,  49.02687  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  14  ,  14  ,  14.0  ,  1.8421052631578947  ,  3.1578947368421053  ,  2.7639294736835787  ,  35  ,  60  ,  52.51466  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  15  ,  15  ,  15.0  ,  1.8  ,  3.2  ,  2.8012785000000044  ,  36  ,  64  ,  56.02557  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  16  ,  16  ,  16.0  ,  1.7619047619047619  ,  3.238095238095238  ,  2.8349714285710967  ,  37  ,  68  ,  59.5344  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  17  ,  17  ,  17.0  ,  2.5  ,  3.227272727272727  ,  2.864950909090573  ,  55  ,  71  ,  63.02892  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  18  ,  18  ,  18.0  ,  2.4782608695652173  ,  3.217391304347826  ,  2.8477860869562726  ,  57  ,  74  ,  65.49908  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  19  ,  19  ,  19.0  ,  2.4583333333333335  ,  3.2083333333333335  ,  2.8332900000001255  ,  59  ,  77  ,  67.99896  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  20  ,  20  ,  20.0  ,  2.44  ,  3.2  ,  2.820050800000332  ,  61  ,  80  ,  70.50127  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  21  ,  21  ,  21.0  ,  2.423076923076923  ,  3.1923076923076925  ,  2.8073211538461513  ,  63  ,  83  ,  72.99035  ,
  PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  33.0  ,  100000 ,  2 ,  0.0  ,  5  ,  5  ,  5.0  ,  22  ,  22  ,  22.0  ,  2.4074074074074074  ,  4.0  ,  2.8341103703701154  ,  65  ,  108  ,  76.52098  ,
