Class , z , b , c , H , Mem , Runs , Th , FP% , MinB , MaxB , AvgB , MinL , MaxL , AvgL , MinTime , MaxTime , AvgTime , MinHops , MaxHops , AvgHops ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  6  ,  6  ,  6.0  ,  1.22222222222  ,  1.77777777778  ,  1.49961444444  ,  11  ,  16  ,  13.49653  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  7  ,  7  ,  7.0  ,  1.2  ,  1.8  ,  1.499807  ,  12  ,  18  ,  14.99807  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  8  ,  8  ,  8.0  ,  1.18181818182  ,  1.81818181818  ,  1.49911272727  ,  13  ,  20  ,  16.49024  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  9  ,  9  ,  9.0  ,  1.16666666667  ,  2.58333333333  ,  1.58366666667  ,  14  ,  31  ,  19.004  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  10  ,  10  ,  10.0  ,  1.15384615385  ,  2.61538461538  ,  1.73159230769  ,  15  ,  34  ,  22.5107  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  11  ,  11  ,  11.0  ,  1.14285714286  ,  2.64285714286  ,  1.85612142857  ,  16  ,  37  ,  25.9857  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  12  ,  12  ,  12.0  ,  1.13333333333  ,  2.66666666667  ,  1.96990533333  ,  17  ,  40  ,  29.54858  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  13  ,  13  ,  13.0  ,  1.125  ,  2.6875  ,  2.06338625  ,  18  ,  43  ,  33.01418  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  14  ,  14  ,  14.0  ,  1.11764705882  ,  2.70588235294  ,  2.14529647059  ,  19  ,  46  ,  36.47004  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  15  ,  15  ,  15.0  ,  1.11111111111  ,  2.72222222222  ,  2.22304055556  ,  20  ,  49  ,  40.01473  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  16  ,  16  ,  16.0  ,  1.10526315789  ,  2.73684210526  ,  2.28944105263  ,  21  ,  52  ,  43.49938  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  17  ,  17  ,  17.0  ,  1.9  ,  2.7  ,  2.300076  ,  38  ,  54  ,  46.00152  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  18  ,  18  ,  18.0  ,  1.85714285714  ,  2.66666666667  ,  2.26291714286  ,  39  ,  56  ,  47.52126  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  19  ,  19  ,  19.0  ,  1.81818181818  ,  2.63636363636  ,  2.22699545455  ,  40  ,  58  ,  48.9939  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  20  ,  20  ,  20.0  ,  1.78260869565  ,  2.60869565217  ,  2.19643652174  ,  41  ,  60  ,  50.51804  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  21  ,  21  ,  21.0  ,  1.75  ,  2.58333333333  ,  2.16552291667  ,  42  ,  62  ,  51.97255  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  22  ,  22  ,  22.0  ,  1.72  ,  2.56  ,  2.1400972  ,  43  ,  64  ,  53.50243  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  23  ,  23  ,  23.0  ,  1.69230769231  ,  2.53846153846  ,  2.11622923077  ,  44  ,  66  ,  55.02196  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  24  ,  24  ,  24.0  ,  1.66666666667  ,  2.51851851852  ,  2.09321074074  ,  45  ,  68  ,  56.51669  ,
PacketMinSketch ,  32 ,  4 ,  1 ,  1 ,  32.0  ,  100000 ,  1 ,  0.0  ,  3  ,  3  ,  3.0  ,  25  ,  25  ,  25.0  ,  1.64285714286  ,  2.5  ,  2.07110857143  ,  46  ,  70  ,  57.99104  ,
